,name,all_matches,true_matches,error_all_matches,error_true_matches,size,time
61,photo_2020-10-03_17-09-30.jpg,482,64,2.3462,1.6171,"(1276, 956, 3)",0.01
62,photo_2020-10-03_17-09-31 (2).jpg,110,7,2.6285,2.0491,"(1276, 956, 3)",0.003
63,photo_2020-10-03_17-09-31.jpg,658,67,2.236,1.5458,"(1276, 956, 3)",0.012
64,photo_2020-10-03_17-09-32.jpg,5190,18,3.1079,2.0708,"(1276, 956, 3)",0.1157
65,photo_2020-10-03_17-09-33.jpg,86,9,2.536,1.7286,"(1276, 956, 3)",0.002
66,photo_2020-10-03_17-09-34.jpg,1282,39,2.6614,1.6582,"(1276, 956, 3)",0.0229
67,photo_2020-10-03_17-23-29.jpg,1074,11,2.8616,2.0238,"(1276, 956, 3)",0.0219
68,photo_2020-10-03_17-23-30.jpg,1336,67,2.5579,1.6467,"(956, 1276, 3)",0.0249
69,photo_2020-10-03_17-23-33.jpg,1374,38,2.6265,1.5982,"(956, 1276, 3)",0.0249
70,photo_2020-10-03_17-23-35.jpg,1626,12,3.1009,2.0808,"(1276, 956, 3)",0.0289
71,photo_2020-10-03_17-23-36.jpg,1544,67,2.6875,1.6128,"(1276, 956, 3)",0.0279
72,photo_2020-10-03_17-23-38.jpg,1564,43,2.799,1.8371,"(1276, 956, 3)",0.0289
73,photo_2020-10-03_17-23-39.jpg,5364,25,3.0947,1.9511,"(1276, 1276, 3)",0.1287
74,photo_2020-10-03_17-23-41.jpg,1524,41,2.7319,1.7724,"(1276, 1276, 3)",0.0269
75,photo_2020-10-03_17-23-42.jpg,2096,30,2.7402,1.6635,"(1276, 1276, 3)",0.0379
76,photo_2020-10-03_17-23-43.jpg,1624,28,2.6443,1.4857,"(1276, 1276, 3)",0.0289
77,photo_2020-10-03_17-23-45.jpg,2366,33,2.7797,1.7289,"(1276, 1276, 3)",0.0429
78,photo_2020-10-03_17-23-47.jpg,3216,40,2.9326,1.6263,"(1276, 1276, 3)",0.0568
79,photo_2020-10-03_17-23-48.jpg,1100,71,2.2295,1.6139,"(1276, 1276, 3)",0.0199
80,photo_2020-10-03_17-23-50.jpg,830,23,2.6126,1.7292,"(1276, 1276, 3)",0.015
81,photo_2020-10-03_17-23-51.jpg,756,36,2.5928,1.6926,"(1276, 1276, 3)",0.014
82,photo_2020-10-03_17-23-52.jpg,1134,146,2.1116,1.4038,"(1276, 1276, 3)",0.0219
83,photo_2020-10-03_17-23-53.jpg,1444,45,2.1661,1.482,"(1276, 1276, 3)",0.0269
84,photo_2020-10-03_17-23-54.jpg,2440,42,2.522,1.7113,"(1276, 1276, 3)",0.0439
85,photo_2020-10-03_17-23-56.jpg,1494,30,2.609,1.6412,"(1276, 1276, 3)",0.0439
86,photo_2020-10-03_17-23-57 (2).jpg,1048,26,2.3346,1.5456,"(1276, 1276, 3)",0.0199
87,photo_2020-10-03_17-23-57.jpg,1248,29,2.5731,1.7078,"(1276, 1276, 3)",0.0229
88,photo_2020-10-03_17-25-15.jpg,2138,21,2.3407,1.5581,"(1276, 1276, 3)",0.0379
89,photo_2020-10-03_17-25-16.jpg,940,5,2.8205,2.0656,"(1276, 1276, 3)",0.017
90,photo_2020-10-03_17-25-17.jpg,296,2,2.6883,1.6128,"(1276, 1276, 3)",0.005
91,photo_2020-10-03_17-25-18.jpg,576,3,2.4757,1.5467,"(1276, 1276, 3)",0.011
92,photo_2020-10-03_17-25-19.jpg,28,0,2.3068,,"(1276, 1276, 3)",0.001
93,photo_2020-10-03_17-25-21 (2).jpg,212,26,2.319,1.5583,"(1276, 1276, 3)",0.004
94,photo_2020-10-03_17-25-21.jpg,110,13,2.3347,1.7389,"(1276, 1276, 3)",0.002
95,photo_2020-10-03_17-25-23 (2).jpg,102,15,2.5734,1.931,"(1276, 1276, 3)",0.003
96,photo_2020-10-03_17-25-23.jpg,1284,66,2.6223,1.7366,"(1276, 1276, 3)",0.0229
97,photo_2020-10-03_17-25-24.jpg,852,20,2.7872,1.867,"(1276, 1276, 3)",0.015
98,photo_2020-10-03_17-25-25.jpg,1286,38,2.4426,1.7581,"(1276, 1276, 3)",0.0229
99,photo_2020-10-03_17-25-26.jpg,1158,73,2.3883,1.7018,"(1276, 1276, 3)",0.0209
100,photo_2020-10-03_17-25-46.jpg,890,6,2.9601,1.7137,"(1276, 956, 3)",0.0189
101,photo_2020-10-03_17-25-47.jpg,1118,10,2.8825,1.9529,"(1276, 956, 3)",0.0199
102,photo_2020-10-03_17-25-48 (2).jpg,936,10,2.9271,2.1425,"(1276, 956, 3)",0.0169
103,photo_2020-10-03_17-25-48.jpg,972,16,2.7015,1.8735,"(1276, 956, 3)",0.0359
104,photo_2020-10-03_17-25-50 (2).jpg,1150,33,2.7214,2.0779,"(1276, 956, 3)",0.0209
105,photo_2020-10-03_17-25-50.jpg,1540,41,2.7155,1.873,"(1276, 956, 3)",0.0279
106,photo_2020-10-03_17-25-51.jpg,2266,41,2.851,1.9024,"(1276, 956, 3)",0.0489
107,photo_2020-10-03_17-25-52.jpg,2756,27,3.0089,1.9936,"(1276, 956, 3)",0.0489
108,photo_2020-10-03_17-25-54.jpg,1544,20,2.8873,2.1155,"(1276, 956, 3)",0.0279
109,photo_2020-10-03_17-25-55.jpg,80,1,2.7738,2.4133,"(1276, 956, 3)",0.002
110,photo_2020-10-03_17-25-57.jpg,252,1,3.0333,2.4411,"(1276, 956, 3)",0.005
111,photo_2020-10-03_17-25-58.jpg,1160,4,2.9071,2.6081,"(1276, 956, 3)",0.0209
112,photo_2020-10-03_17-25-59.jpg,2224,45,2.5392,1.6243,"(1276, 956, 3)",0.0399
113,photo_2020-10-03_17-26-00.jpg,902,12,2.6667,1.9857,"(1276, 956, 3)",0.016
114,photo_2020-10-03_17-26-01.jpg,888,20,2.5847,1.8778,"(1276, 956, 3)",0.016
115,photo_2020-10-03_17-26-02.jpg,866,16,2.9744,2.0279,"(1276, 956, 3)",0.016
116,photo_2020-10-03_17-26-03.jpg,1302,19,2.9262,2.0665,"(1276, 956, 3)",0.0229
117,photo_2020-10-03_17-26-04.jpg,1282,25,2.6693,2.0848,"(1276, 956, 3)",0.0249
118,photo_2020-10-03_17-26-05 (2).jpg,1136,68,2.5503,1.7642,"(1276, 956, 3)",0.0209
119,photo_2020-10-03_17-26-05.jpg,24,0,2.9153,,"(1276, 956, 3)",0.001
120,photo_2020-10-03_17-27-11.jpg,0,0,,,"(1276, 956, 3)",0.0
121,photo_2020-10-03_17-27-12.jpg,112,1,2.998,2.7476,"(1276, 956, 3)",0.003
122,photo_2020-10-03_17-27-13.jpg,0,0,,,"(1276, 956, 3)",0.0
